1788953946616	1	002	0712	0	09/09/2026 08:38	3	1	132700	09/09/2026 08:38	0	0	0		0	01	1	182	1	1	38000	0	1		SIN GRUPO
1788953946616	1	002	0712	0	09/09/2026 08:38	3	1	132700	09/09/2026 08:38	0	0	0		0	01	2	11	1	1	11000	0	1		SIN GRUPO
1788953946616	1	002	0712	0	09/09/2026 08:38	3	1	132700	09/09/2026 08:38	0	0	0		0	01	3	14	1	1	11000	0	1		SIN GRUPO
1788953946616	1	002	0712	0	09/09/2026 08:38	3	1	132700	09/09/2026 08:38	0	0	0		0	01	4	54	1	1	7350	0	1		SIN GRUPO
1788953946616	1	002	0712	0	09/09/2026 08:38	3	1	132700	09/09/2026 08:38	0	0	0		0	01	5	58	1	1	7350	0	1		SIN GRUPO
1788953946616	1	002	0712	0	09/09/2026 08:38	3	1	132700	09/09/2026 08:38	0	0	0		0	01	6	155	1	1	58000	0	1		SIN GRUPO
1788954244570	1	002	1551	0	09/09/2026 08:42	3	1	5629.78	09/09/2026 08:42	0	0	0		0	01	1	2022	5	1	367.48	0	1		SIN GRUPO
1788954244570	1	002	1551	0	09/09/2026 08:42	3	1	5629.78	09/09/2026 08:42	0	0	0		0	01	2	2021	6	1	367.48	0	1		SIN GRUPO
1788954244570	1	002	1551	0	09/09/2026 08:42	3	1	5629.78	09/09/2026 08:42	0	0	0		0	01	3	2024	5	1	317.5	0	1		SIN GRUPO
1788956231931	1	002	2461	0	09/09/2026 09:11	3	1	203254	09/09/2026 09:11	0	0	0		0	01	1	1959	1	1	10800	0	1		SIN GRUPO
1788956231931	1	002	2461	0	09/09/2026 09:11	3	1	203254	09/09/2026 09:11	0	0	0		0	01	2	2036	1	1	10750	0	1		SIN GRUPO
1788956231931	1	002	2461	0	09/09/2026 09:11	3	1	203254	09/09/2026 09:11	0	0	0		0	01	3	208	4	1	4751.11	0	1		SIN GRUPO
1788956231931	1	002	2461	0	09/09/2026 09:11	3	1	203254	09/09/2026 09:11	0	0	0		0	01	4	1215	6	1	2900	0	1		SIN GRUPO
1788956231931	1	002	2461	0	09/09/2026 09:11	3	1	203254	09/09/2026 09:11	0	0	0		0	01	5	443	15	1	750	0	1		SIN GRUPO
1788956231931	1	002	2461	0	09/09/2026 09:11	3	1	203254	09/09/2026 09:11	0	0	0		0	01	6	442	20	1	750	0	1		SIN GRUPO
1788956231931	1	002	2461	0	09/09/2026 09:11	3	1	203254	09/09/2026 09:11	0	0	0		0	01	7	439	15	1	750	0	1		SIN GRUPO
1788956231931	1	002	2461	0	09/09/2026 09:11	3	1	203254	09/09/2026 09:11	0	0	0		0	01	8	1429	1	1	13000	0	1		SIN GRUPO
1788956231931	1	002	2461	0	09/09/2026 09:11	3	1	203254	09/09/2026 09:11	0	0	0		0	01	9	1511	1	1	12200	0	1		SIN GRUPO
1788956231931	1	002	2461	0	09/09/2026 09:11	3	1	203254	09/09/2026 09:11	0	0	0		0	01	10	1436	0.5	1	13000	0	1		SIN GRUPO
1788956231931	1	002	2461	0	09/09/2026 09:11	3	1	203254	09/09/2026 09:11	0	0	0		0	01	11	1437	0.5	1	13000	0	1		SIN GRUPO
1788956231931	1	002	2461	0	09/09/2026 09:11	3	1	203254	09/09/2026 09:11	0	0	0		0	01	12	1996	1	1	27600	0	1		SIN GRUPO
1788956231931	1	002	2461	0	09/09/2026 09:11	3	1	203254	09/09/2026 09:11	0	0	0		0	01	13	1996	1	1	27600	0	1		SIN GRUPO
1788956231931	1	002	2461	0	09/09/2026 09:11	3	1	203254	09/09/2026 09:11	0	0	0		0	01	14	1659	3	1	4800	0	1		SIN GRUPO
